disease,model,dataset_rows,feature_count,train_rows,test_rows,training_seconds,cv_roc_auc_mean,cv_roc_auc_std,accuracy,precision,recall,f1,roc_auc,true_negative,false_positive,false_negative,true_positive,model_path
diabetes,logistic_regression,768,8,614,154,0.0084,0.8433637873754153,0.018549552071526722,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,82,18,27,27,C:\Users\OS\Desktop\ai-multidisease-prediction\models\diabetes\logistic_regression.joblib
diabetes,decision_tree,768,8,614,154,0.012,0.6510063676633444,0.014780431693809631,0.6818181818181818,0.5531914893617021,0.48148148148148145,0.5148514851485149,0.6357407407407407,79,21,28,26,C:\Users\OS\Desktop\ai-multidisease-prediction\models\diabetes\decision_tree.joblib
diabetes,random_forest,768,8,614,154,0.3458,0.8209482281284608,0.020899950976638763,0.7402597402597403,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.8160185185185185,85,15,25,29,C:\Users\OS\Desktop\ai-multidisease-prediction\models\diabetes\random_forest.joblib
diabetes,svm,768,8,614,154,0.0736,0.8333084163898116,0.022803458956872403,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,84,16,24,30,C:\Users\OS\Desktop\ai-multidisease-prediction\models\diabetes\svm.joblib
diabetes,knn,768,8,614,154,0.0092,0.7843320874861572,0.03728143263534694,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7899074074074074,83,17,21,33,C:\Users\OS\Desktop\ai-multidisease-prediction\models\diabetes\knn.joblib
diabetes,xgboost,768,8,614,154,0.651,0.7981063122923587,0.01915336417594889,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.8309259259259258,83,17,22,32,C:\Users\OS\Desktop\ai-multidisease-prediction\models\diabetes\xgboost.joblib
heart,logistic_regression,303,13,242,61,0.0088,0.8959708568404221,0.014838298262640983,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013,27,6,2,26,C:\Users\OS\Desktop\ai-multidisease-prediction\models\heart\logistic_regression.joblib
heart,decision_tree,303,13,242,61,0.0054,0.6966532662184836,0.02170211881952363,0.7213114754098361,0.6571428571428571,0.8214285714285714,0.7301587301587301,0.7288961038961038,21,12,5,23,C:\Users\OS\Desktop\ai-multidisease-prediction\models\heart\decision_tree.joblib
heart,random_forest,303,13,242,61,0.3487,0.8834726867335563,0.03601501523618127,0.9180327868852459,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.9577922077922079,29,4,1,27,C:\Users\OS\Desktop\ai-multidisease-prediction\models\heart\random_forest.joblib
heart,svm,303,13,242,61,0.0104,0.8831689244732722,0.024382972208831212,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9437229437229437,27,6,3,25,C:\Users\OS\Desktop\ai-multidisease-prediction\models\heart\svm.joblib
heart,knn,303,13,242,61,0.0056,0.8824076889294281,0.030469864730545793,0.8852459016393442,0.8,1.0,0.8888888888888888,0.9231601731601731,26,7,0,28,C:\Users\OS\Desktop\ai-multidisease-prediction\models\heart\knn.joblib
heart,xgboost,303,13,242,61,0.324,0.8637771246466899,0.015777732605258783,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9285714285714286,27,6,2,26,C:\Users\OS\Desktop\ai-multidisease-prediction\models\heart\xgboost.joblib
ckd,logistic_regression,400,24,320,80,0.0313,1.0,0.0,0.9875,1.0,0.98,0.98989898989899,1.0,30,0,1,49,C:\Users\OS\Desktop\ai-multidisease-prediction\models\ckd\logistic_regression.joblib
ckd,decision_tree,400,24,320,80,0.0286,0.9666666666666666,0.016457014715109592,0.975,1.0,0.96,0.9795918367346939,0.98,30,0,2,48,C:\Users\OS\Desktop\ai-multidisease-prediction\models\ckd\decision_tree.joblib
ckd,random_forest,400,24,320,80,0.3387,0.9994791666666668,0.0006588078458683749,1.0,1.0,1.0,1.0,1.0,30,0,0,50,C:\Users\OS\Desktop\ai-multidisease-prediction\models\ckd\random_forest.joblib
ckd,svm,400,24,320,80,0.1156,1.0,0.0,0.975,1.0,0.96,0.9795918367346939,1.0,30,0,2,48,C:\Users\OS\Desktop\ai-multidisease-prediction\models\ckd\svm.joblib
ckd,knn,400,24,320,80,0.012,0.9917708333333332,0.005253966755382654,0.9625,1.0,0.94,0.9690721649484536,0.99,30,0,3,47,C:\Users\OS\Desktop\ai-multidisease-prediction\models\ckd\knn.joblib
ckd,xgboost,400,24,320,80,0.1214,0.9983333333333334,0.0015590239111558035,1.0,1.0,1.0,1.0,1.0,30,0,0,50,C:\Users\OS\Desktop\ai-multidisease-prediction\models\ckd\xgboost.joblib
breast_cancer,logistic_regression,569,30,455,114,0.0156,0.9957688338493291,0.004665698474904977,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,71,1,3,39,C:\Users\OS\Desktop\ai-multidisease-prediction\models\breast_cancer\logistic_regression.joblib
breast_cancer,decision_tree,569,30,455,114,0.0112,0.9172342621259031,0.0375421661005599,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745,68,4,4,38,C:\Users\OS\Desktop\ai-multidisease-prediction\models\breast_cancer\decision_tree.joblib
breast_cancer,random_forest,569,30,455,114,0.3357,0.9879772961816305,0.007281943183619418,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9943783068783069,72,0,3,39,C:\Users\OS\Desktop\ai-multidisease-prediction\models\breast_cancer\random_forest.joblib
breast_cancer,svm,569,30,455,114,0.0287,0.9949432404540763,0.00496429864635942,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947,72,0,3,39,C:\Users\OS\Desktop\ai-multidisease-prediction\models\breast_cancer\svm.joblib
breast_cancer,knn,569,30,455,114,0.0051,0.9871001031991744,0.013581575955716877,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201,71,1,4,38,C:\Users\OS\Desktop\ai-multidisease-prediction\models\breast_cancer\knn.joblib
breast_cancer,xgboost,569,30,455,114,0.2328,0.9927760577915377,0.0050133984732677024,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9930555555555555,72,0,4,38,C:\Users\OS\Desktop\ai-multidisease-prediction\models\breast_cancer\xgboost.joblib
